id,text,label
train_000029,"Hôm_nay chiên thử cá_hồi , cá_chiên ăn ngọt hơn chiên kiểu truyền_thống vì giữ đc nước Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn",0
train_000030,""" máy này có cái CPU k phải skylake là thấy không hay rồi """,1
train_000031,Hàng vận_chuyển bị nứt mẻ 1 góc.chất lượng ok .,0
train_000032,Sạc tự_động ngắt pin,0
train_000033,Shop giao hàng kh giống màu,1
train_000034,Shop giao sai màu đặt màu xanh da_trời shop giao màu nõn chuối . Đặc_biệt sản_phẩm đã sai màu còn bị vỡ phần nắp và chốt ko sd được . Chat shop ko tl đến lúc khách nhấn hoàn hàng mới tl sơ_sài và ko đồng_ý hoàn . Rất thất_vọng về cách làm_việc của Shop . May_mà Shopee lấy lại công_bằng và hoàn tiền .  ,1
train_000035,khong thay den sang,1
train_000036,So với giá thì chất_lượng tuyệt_vời . capo khá chắc_chắn và đẹp,0
train_000037,Không cầm pin . Không sử_dụng được Chất_lượng sản_phẩm rất kém,1
train_000038,"Những nước phát_triển hàng trăm_năm cũng không ai làm tầng ngầm dưới đường_cao_tốc cả , xe_điện_ngầm ra ngoại_ô cũng thành nổi để tiết_kiệm chi_phí .",1
train_000039,Shop phục_vụ rất tốt . Thời_gian giao hàng rất nhanh,0
train_000040,Sản_phẩm tốt hỗ_trợ khách_hàng nhiệt_tình,0
train_000041,Giày đẹp mang êm và vừa chân lắm nha shop .,0
train_000042,Chất_liệu và kiểu_dáng thì được nhưng quần hơi ngắn,0
train_000043,hàng bị lỗi nhiều quá màn_hình cháy phim bị bong,1
train_000044,Chất_lượng sản_phẩm tuyệt_vời Thời_gian giao hàng rất nhanh ngon sẽ ủng_hộ shop dài_dài ...,0
train_000045,Chưa dùng nhưng nghe bạn m dùng r fb chất_lượng khá tốt serum thơm mùu bưởi . Có 1 góp_ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu_hết các lọ vòi xịt đều k ổn .,0
train_000046,Uống rất ngon Giao hàng nhanh Chất_lượng sản_phẩm tuyệt_vời .....................  ......................,0
train_000047,Shop bảo làm theo yêu_cầu theo yêu_cầu là phải có cao_su chống trượt mà không theo yêu_cầu thôi nhịn đắng cục tức vậy . Các bạn mua nên chú_ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài,1
train_000048,Rẻ lầm chất_lượng lém,0
train_000049,Huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao !,1
train_000050,Đóng_gói sản_phẩm rất kémTư vấn k nhiệt_tình,1
train_000051,Sản_phẩm tốt ưng_ý !,0
train_000052,E xay đá mà bị gãy ko xay dc ạ,0
train_000053,Sản_phẩm rất đẹp . Y hình và chất_lượng rất tuyệt_vời . Mik mua một lúc 5 đôi luôn . Mik sẽ ủng_hộ shop dài dài ,0
train_000054,Sản_phẩm không an_toàn quá nguy_hiểm cho người sử_dụng . Không đáng để mua sp này . Quá sai_lầm khi mua,1
train_000055,Thời_gian giao hàng lâu . Đặt mũ len mèo màu ghi xám lại giao màu vàng . Khẩu_trang xô mỏng tang.K biết có phải do giá sale k mà chất_lượng chán thế .,1
train_000056,Chất_lượng sản_phẩm tuyệt_vời Hơi cũ tí nhưng mượt lắm thanks shop,0
train_000057,Sản_phẩm k như mình mong_đợi .. k cài dc đồ_chơi vào .. ghế hơi bất_tiện khi sử_dụng,0
train_000058,Hôm_nay tình_cờ đọc được bài viết của bạn mình cảm_thấy rất vui .,1
train_000059,Đóng_gói sản_phẩm rất chắc_chắn . Sản_phẩm rất dày_dặn . Thời_gian giao hàng rất nhanh .,0
train_000060,Áo vs giày siêu yêu ạ,0
train_000061,mang đi công_tác rất tiện_lợi dùng rất mượt ko lo bị trầy_xước,0
train_000062,Chất_lượng quá kém giao hàng không đúng mẫu . Khuyên mọi người không nên mua hàng của shop ,1
train_000063,Đặt lần 2 rồi mà giao hàng lâu quá vậy ? ? ?,1
train_000064,Khăn dày đẹp .,0
train_000065,Đặt tat bé giao tat nguoi lon . giao lộn hỏi k tl,1
train_000066,Mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm,1
train_000067,- Giao hàng rất nhanh < 3 < 3 gói hàng siêu kĩ luôn -_Son thơm mùi sữa cacao ghiền luôn á = 3333 vỏ_son nhìn cưng ghê màu_son siêu đẹp chất_son rất lì như_son kem nên dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc = ) ) ),0
train_000068,Đánh 1 * vì không có 0 * . Đặt 3 gói Monny L44 tt thẻ ở tp HCM nhưng 1 tuần mới nhận đc gói hàng bằng 1 túi nilong do người_nhà nhận dùm khi mình kiểm_tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi dt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối_cùng gửi trả hàng thì không thấy đâu .,1
train_000069,Thời_gian giao hàng rất nhanh shop phuc vụ quá qua tệ hang  bị hư_hại ma hong lời giai quyết . người khác da the ma nguoi kia cũng vay hong chu_đáo can xem xet lại khi mau hàng shop nay nha cac ban,0
train_000070,Đẹp thích hết,0
train_000071,Kem dùng ổn mỗi_tội hơi tối do với da mình,0
train_000072,Đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tốt,0
train_000073,Good value for money Good value for money Fast delivery Excellent service by seller,0
train_000074,Chất_lượng sản_phẩm tốt Đóng_gói sản_phẩm rất cẩn_thận và chắc_chắn Thời_gian giao hàng rất nhanh,0
train_000075,Chị chủ tư_vấn rất nhiệt_tình  hình_dáng và chất_lượng sản_phẩm tuyệt_vời,0
train_000076,SHOP ĐĂNG ẢNH MỘT ĐẰNG SẢN_PHẨM MỘT LẺO . BÁN CÁP THÌ ÚP HÌNH CÁI CÁP THÔI CHỨ UP CẢ_CỤC SẠC GÂY NHẦM_LẪN CHO KHÁCH_HÀNG LÀ COMBO CÁP + DÂY SẠC . TÔI MUA LIỀN 2 CÁI LÚC NHẬN HÀNG MỚI NGỚ NGƯỜI RA BỊ MUA ĐẮT . CHẤT_LƯỢNG SẢN_PHẨM CHƯA RÕ .,1
train_000077,Chất_lượng sản_phẩm tuyệt_vời . Shop tư_vấn nhiệt_tình ạ < 3 sẽ ủng_hộ shop dài_dài .,0
train_000078,Poor delivery speed Poor product quality,1
train_000079,Đúng là tiền nào của đó ko ngon mùi kì kì ko thơm như lạp_xưởng bình_thường ! Thất_vọng vô_cùng ! ! !,0
train_000080,Chất_lượng sản_phẩm tuyệt_vời . Đóng_gói sản_phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà sẽ ủng_hộ tiếp ...,0
train_000081,Giày_Ok lắm shop ship hàng nhanh nữa ❤️,0
train_000082,Chất_lượng sản_phẩm tuyệt vời.rất OK,0
train_000083,Giày chắc_chắn . Đế hơi bẩn tí nhưng chắc sẽ lau được . Giao hàng nhanh,0
train_000084,Hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi . Nhắn_tin ko trả_lời,0
train_000085,Shop hết hàng nhưng không báo . Mình đặt 1 cặp thế_mà gởi chỉ 1 ốp kèm theo tiền ốp kja . Thanh_toán mở_hàng ra xem thì chỉ có 1 ốp và số tiền đã thanh_toán . Xài cặp thế giờ có 1 ốp thì sao đây . Mình chỉ góp_ý vậy thôi ,1
train_000086,Giao ko đúng Đồ . Tôi đã bị lừa,0
train_000087,hk giong mẩu gì cả da vay bi lỗi nua ,1
train_000088,Tương_đối hài_lòng giày chắc_chắn êm nhưng đường may chỉ thừa còn nói_chung ok với giá này : ) thanks shop nha,0
train_000089,Dép xinh . Chủ shop rep tn rất nhiệt_tình . Chúc shop buôn may bán đắt ạ .,0
train_000090,Mua 2đ có 2 lỗ xỏ dây ib shop kh trả_lời giày rộng mn cân_nhắc trc khi mua .  ,1
train_000091,Tốt tgian giao hàng nhanh,0
train_000092,Nên mua nha mọi người,0
train_000093,Thấy ghi đc tặng kèm tã quần.đến khi nhận hàng thì k thấy.hỏi shop thì nói k có .,1
train_000094,Shop phục_vụ rất kém . Đã phải nhắn_tin hỏi cẩn_thận là còn k . Shop nói còn mà gửi màu sai .  ,1
train_000095,Shop phục_vụ rất tốt . Sản_phẩm đúng với thông_tin đăng_tải .,0
train_000096,Đặt combo mà shop chỉ giao bánh gạo và sốt k thấy phô_mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy_đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả_lời . Shop phục_vụ rất kém,1
train_000097,Shop này uy_tín nè hàng đã đẹp mà_còn đầy_đủ hộp + pin tặng thêm đeo đồng_bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá : ),0
train_000098,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn . Hàng Giao Dung mẫu chọn . Chất vải dẹp,0
train_000099,Sản_phẩm k như quảng_cáo là 9058 liên_hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng_đài báo : số đt không có.Hãi vãi !,1
train_000100,Chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy_nhất là đậu_phộng không được cay cho lắm .,0
train_000101,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn Thời_gian giao hàng rất nhanh lại còn được thêm quà tặng kèm .   Shop phục_vụ rất tốt !,0
train_000102,ngọt wá . cay wá . ướt wá tạm đc . đúng với giá tiền,1
train_000103,Chưa xài nhưng shop nhiệt_tình giao hàng nhanh đóng_gói đẹp nên cho 5 *,0
train_000104,Mui khoan xài mau lúc qua,1
train_000105,Trước_mắt dùng tốt,0
train_000106,Sản_phẩm tốt . Mẫu_mã đẹp  Chất_lượng sản_phẩm tuyệt_vời,0
train_000107,sản_phẩm kém chất_lượng độ sáng yếu pin không cầm sáng hoài không tắt công_suất 15w thua bóng 9w nữa hàng kém chất_lượng,1
train_000108,Sản_phẩm tốt .. Xài rất ưng_ý,0
train_000109,Đóng_gói sản_phẩm rất đẹp và chắc_chắn Tuy_nhiên sản_phẩm ko đc như mong_đợi của mình lắm Thời_gian giao hàng rất nhanh,0
train_000110,Hạt_giống k nảy mầm,1
train_000111,Chất_lượng sản_phẩm tuyệt_vời Shop phục_vụ rất tốt Rất đáng tiền Thời_gian giao hàng rất nhanh Shop có tâm máy dùng thích,0
train_000112,rẻ hơn khi mua sieu thị nè  Chất_lượng sản_phẩm tuyệt_vời Thời_gian giao hàng rất nhanh,0
train_000113,Sp ok lam an uy tin . Goi hang can than . Giao hang nhanh,0
train_000114,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt Rất đáng tiền Thời_gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp e sẽ ủng_hộ shop nhiều hơn,0
train_000115,TOÀN HÀNG FAKE . MASK RẺ_TIỀN BÁN HÀNG CÓ TÂM MỘT_CHÚT ĐI,1
train_000116,hàng ko đúng chất_lượng,1
train_000117,Chất_lượng sản_phẩm rất kém.thô.,1
train_000118,Chất_lượng sản_phẩm tuyệt_vời Giao hàng bao nhanh nhé dù ở tpHCM shop ngoài Đà_Nẵng nhưng chỉ mất 2 ngày kể từ lúc đặt . Chúc shop mua may bán đắt,0
train_000119,San_Pham tuyet voi .. Giay ray Dep .. Cho 5sao luon nha shop,0
train_000120,mua 2 cục lap vao ko có tính hiêu . đều ko dùng được,1
train_000121,Chất_lượng sản_phẩm rất kém . Mua 3 đôi k vừa 1 đôi mà kêu size chuẩn .,1
train_000122,Chất_lượng sản_phẩm kém luoi bọc quat nhỏ wa ko dung đc,1
train_000123,Giày đẹp quá_thể ❤️ . Ưng lắm lắm . Sẽ ủng_hộ shop dài_dài .  . Chất đẹp còn hơn cả ảnh nữa . Yêu yêu ,0
train_000124,Shop phục_vụ rất tốt Thời_gian giao hàng rất nhanh.chất lượng chưa dùng nên chưa biết hiệu_quả k . ,0
train_000125,Đóng_gói sản_phẩm rất đẹp và chắc_chắn . Chúc shop đắt khách nha ,0
train_000126,Đồng_hồ đẹp lắm chúc shop bán đắt nhé,0
train_000127,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm tốt Shop phục_vụ tận_tình,0
train_000128,"Vừa sắm em M905 , thấy nói ngon nhưng mới xài nên chưa đánh_giá được ... cảm_nhận qua : đầm tay , chọn điểm click chính_xác , wheel lăn 2 chế_độ ( trơn và cà_nhắc ) rất hay .. Giá : 1,699 tr . Mua của Trần_Anh - Hà nôi",0
train_000129,""" ôi cái cấu_hình đt "" mạnh kinh "" """,1
train_000130,Chất_lượng sản_phẩm rất kém . Nhìn hàng vừa nhận mà chỉ mun vứt đi như hàng dùng rồi mà vẫn còn ship dc cho khách . Làm_ăn thất đức ,1
train_000131,_Son rất đẹp thơm mùi trái_cây,0
train_000132,Đóng_gói sản_phẩm rất kém Bánh_tráng như bị ỉu và nghe mùi chua Đề_nghị bồi thuờng lại cho bên e,1
train_000133,Đóng_gói sản_phẩm rất đẹp và chắc_chắn . Quà tặng kèm siêu dễ_thương ah . Sẽ còn mua lại ,0
train_000134,Váy nhỏ sao với kích_thước bé nhà mình 19kg đã chon size lớn nhất nhưng vẫn hok vừa ! ! ! Hic,1
train_000135,Bình_thường mang 38 vừa ma giờ mua 38 mang rộng như 40 vậy . Chất_liệu không êm .. ,1
train_000136,Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt . Chất_lượng sản_phẩm tuyệt_vời . Lần sau mình sẽ ủng_hộ tiếp !,0
train_000137,""" tuyệt_vời ông mặt_trời ! """,0
train_000138,Sản_phẩm giống hình . Giao hàng nhanh . Chất_lượng thì chưa biết,0
train_000139,Giày giống hình nhưng đặt mua màu xám lại giao màu đỏ . Không hài_lòng,1
train_000140,Giao hàng không có hai miếng hít chỉ có cái giá nhựa không biết phải làm_sao ...,1
train_000141,Chất_lượng sp kém Shop phục_vụ k nhiệt_tình Hàng lỗi shop k cho đổi Z cũng nói bảo hành ,1
train_000142,Mua_Hồng ship Đen : ),1
train_000143,""" Khung viền kim_loại thì máy chắc_chắn hơn rồi , mà có hỗ_trợ cả 4G thì cập_nhật kịp_thời r """,0
train_000144,Phát_sóng mạnh và xa . Đáng mua,0
train_000145,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn_son lên màu chuẩn chất_son mịn mượt k khô môi ! Rất ưng . Sẽ ủng_hộ shop lần sau ,0
train_000146,Đóng_gói max cẩn_thận chất_lượng khỏi bàn ,0
train_000147,Máy dỏm nâng_giá cao lên rồi hạ giá khuyến_mãi rất thất_vọng,1
train_000148,Rất thơm . Mùi dịu_ngọt dễ_chịu . Chị chủ shop dễ_thương tư_vấn nhiệt_tình ^ _ ^,0
train_000149,Mình mua bộ này trong đợt sale 99k của Tiki hàng giao chậm vì bị cháy hàng thì không sao . Nhưng chất_lượng SP thì khác hoàn_toàn so với các lần mình mua trước đó ở Siêu_thị . Dầu_gội thì lỏng và không thơm như bình_thường hay dùng dầu xả thì có mùi kì_lạ chua_chua gì đó xộc lên mỗi lần lấy ra dùng.Nói chung là cảm_giác như không phải chính hãng vậy đó .,1
train_000150,Áo đẹp . Lông mịn .  Nói chung là rất ưng_ý và Rất đáng tiền,0
train_000151,o ngon,1
train_000152,k như QC jờ mới lắp keu rất bé dc đổi lại thì tốt .,1
train_000153,Giày chất rất ổn giao hàng hơi lâu chút .   Đóng_gói sản_phẩm rất đẹp và chắc_chắn Rất đáng tiền,0
train_000154,san pham khac so voi hinh mau.quan_din dau nhot.vai mong,1
train_000155,"đã mua , chưa bít kq ra sao , tuy_nhiên ko có ghi shopee ở ngoài , bên trong ok , thanks Thời_gian giao hàng rất nhanh",0
train_000156,Shop giao hàng nhanh . _Son màu cam sáng nên chất hơi bột lên màu chuẩn và có màu bám lại sau khi chùi .,0
train_000157,Cảm_ơn shop giao hàng rất nhanh trong 2 gói thì m thích gói khô gà lá chanh hơn khô và thơm . Sẽ ủng_hộ shop thêm Đóng_gói sản_phẩm rất đẹp và chắc_chắn,0
train_000158,""" cái này đc đấy , mình thích đồ chính hãng . """,0
train_000159,Dong ho sai duoc,0
train_000160,Đặt trong ảnh là lọ thuỷ_tinh không thấy thương_hiệu hay nhãn_mác . Nhưng giao là lọ nhựa hiệu hơi lạ . Nhưng không sao viên nghệ ăn dễ ngọt nghe mùi mật_ong đúng . Không chắc là hiệu_quả vì chỉ mới sử_dụng vài viên nhưng nếu có hiệu_quả lần tới sẽ mua tiếp ❤️ .  ,0
train_000161,Kêu tặng 7 bịch bánh_tráng nhưng chỉ đưa 4 cục kẹo milo ,1
train_000162,Chất_lượng sản_phẩm tuyệt vời0k,0
train_000163,Chất_lượng tốt ! ,0
train_000164,Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt Rất đáng tiền Rất đáng tiền Thời_gian giao hàng rất nhanh Thời_gian giao hàng rất nhanh Rất đáng tiền Shop phục_vụ rất tốt Shop phục_vụ rất tốt Rất đáng tiền Chất_lượng sản_phẩm tuyệt_vời,0
train_000165,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn . Khá ok,0
train_000166,Mk mua sz 41 mà giao nhầm sz rộng ko đi đc,1
train_000167,Chất_lượng sản_phẩm tốt  đóng gói sản_phẩm cẩn_thận,0
train_000168,Túi chắc_chắn . Gói hàng cẩn_thận chu_đáo,0
train_000169,Thời_gian giao hàng rất nhanh có 2 áo trùng kiểu,0
train_000170,"Sản_phẩm mẫu_mã đẹp . Chất_lượng sản_phẩm thì chưa đánh_giá được vì chưa trải qua sử_dụng . Shop phục_vụ rất tốt , rất nhiệt_tình . Thời_gian giao hàng cũng khá nhanh 3 ngày đã nhận hàng . Đã check : không biết có phải chính hãng hay không AE xem hình mình update kèm hihi . Thanks shop lần sau ủng_hộ nữa",0
train_000171,Chất_lượng sản_phẩm tuyệt_vời đẹp dùng ổn,0
train_000172,Rất đáng tiền  Thời_gian giao hàng rất nhanh Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt,0
train_000173,Hàng đẹp tuyệt_vời như hình . Mình ở xa mua cũng sợ nhưng shop gửi hàng đẹp không lỗi giày ko nhăn_nheo . Rất hài_lòng . Sẽ ủng_hộ shop dài_dài ạ ,0
train_000174,""" 17 cu thì mua lg v10 vừa đẹp mà con dư tiền """,1
train_000175,Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt Rất đáng tiền Thời_gian giao hàng rất nhanh . Giày đẹp y hình shop đăng .,0
train_000176,Size 3xl mà 62kg mặc vừa shop gọi điện_thoại tư_vấn nhiệt_tình và chu_đáo nhưng sản_phẩm ko giống như mô_tả sản_phẩm vải đẹp nhưng đường chỉ may vắt_sổ còn thừa quá nhiều chỉ,1
train_000177,Không hài_lòng đã nhắn shop là gửi đồng_hồ mặt nhỏ rồi lại gửi mặt lớn to đeo ko đẹp mà mua 3 cái rồi đó,1
train_000178,Chuẩn hàng lắm mn ạhh ! ! ! lên tone nhiều & ko hề lộ vân gì cả nên đố ai biếttt  Ko dính quần_áo mình xịt lên quần_áo đen cũg k dính ,0
train_000179,Shop gói hàng xinh_xắn cẩn_thận . Đàn nhỏ xinh và âm nghe cũng hay . Mình rất hài_lòng,0
train_000180,Bộ khung khó sài lên hình méo_mó không đẹp,1
train_000181,Đèn leb shop gửi câu lộn dây ... gắn vào xe ko sáng đèn ... cần lưu_ý hàn cho đúng cực âm dương,1
train_000182,giống hình quảng_cáo . đáng tiền,0
train_000183,Rất đáng tiền . Đẹp và y_như hình . Shop phục_vụ rất tốt,0
train_000184,Hàng chất_lượng tốt . Giao hàng nhanh_chóng . Shop uy_tín,0
train_000185,hang ko thật như hinh ảnh hàng gui là hàng phek ko đúng hàng như shop nói .,1
train_000186,Dầu rất thơm bỏ vào máy phun sương khuếch_tán thơm cả phòng luôn . cảm_ơn shop đã đem đến một sản_phẩm thiết_thực,0
train_000187,Giao hàng nhanh sản_phẩm đẹp lắm i hình luôn,0
train_000188,"Gương hơi mờShop k rep tn Thật_sự thất_vọng Vẽ lem , loãng Ai mua hàng đừng dựa vào lượng feedback mà mua như mình",1
train_000189,xui xui trúng cây ko có miếng lót ko xài đc,1
train_000190,mình nhập Đúng tên và mật_khẩu nhưng không vào được,1
train_000191,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn Đóng_gói sản_phẩm rất đẹp và chắc_chắn,0
train_000192,xấu wa,1
train_000193,Chưa xai chưa biet sao ,0
train_000194,Đóng_gói sản_phẩm rất đẹp và chắc_chắn Thời_gian giao hàng rất nhanh . Chất vải hơi mỏng dày thêm tí nữa thì đẹp,0
train_000195,Led sáng ngon . Chất_lượng sản_phẩm tuyệt_vời,0
train_000196,Nói là tích điện nhưng sạc điện không vô ...... theo mình các bạn không nên mua sản_phẩm này mua về tốn tiền mà không sử_dụng đượcBán hàng không có tâm .... Chất_lượng sản_phẩm rất kém,1
train_000197,Mua phi ca tien . cau qua kem,0
train_000198,Đóg gói ko đep,0
train_000199,giao hag z mà cug lộn sai nửa ... dat sai 31 ma giao sai 28 ak,1
train_000200,Ngon giòn đáng tiền nhưng tiền ship hơi cao : ) ),0
train_000201,"Hàng rất tốt , giao hàng rất nhanh , và gói hàng rất cẩn thận Cảm ơn shop vì cái giắc DC",0
train_000202,Chất_lượng sản_phẩm rất kém mùi nhựa rất hôi độc_hại nên không dám cho con ngồi . Giờ vứt  xó . Mua phí tiền .  ,1
train_000203,""" đang định lên con aiphone 7 mà nghe quảng_cáo thiếu nhiều thứ quá chắc không mua , tưởng dùng camera kép , tưởng dùng dual pixel , tưởng dùng flash kép , tưởng bỏ home vậy lý , tưởng nhiều thứ nữa , vậy_mà giá trên trời , hjc hjc """,1
train_000204,giày phù_hợp giá tiền,0
train_000205,Đóng_gói sản_phẩm rất đẹp và chắc_chắn ! Rất đáng tiền !,0
train_000206,Mói dùng mây hôm rât tôt về lâu_dài thi chờ xem . Trước_mắt hàng chất_lượng giá rẻ .,0
train_000207,Đẹp mà đường_nét tinh_tế lắm,0
train_000208,Mọi người nên mua lạp_xưởng tươi của shop Đi nha rất là ngonvà ko bị ngán nữa trên cả sự mong_đợi của mình . Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt Rất đáng tiền Thời_gian giao hàng rất nhanh,0
train_000209,Rất đáng tiền Chất_lượng sản_phẩm tuyệt_vời . thank shop,0
train_000210,Sản_phẩm oke ,0
train_000211,Giày làm = chất_liệu gì mà hôi quá !,1
train_000212,""" Tôi xài M7 từ lúc mới ra tới giờ , ko có lý_do gì để đổi máy khác , phần_cứng và phần_mềm rất tuyệt_vời . Tôi vô_tình làm rớt từ độ cao hơn 1 m ko dưới 10 lần mà giờ sử_dụng vẫn ok ngoài cái võ_bị xước """,0
train_000213,Sản_phẩm đẹp . Đóng_gói chắc_chắn . Nhưng k có pin dự_phòng .,0
train_000214,kém chất lượngmua phí tiền,1
train_000215,Đẹp lắm shop ơi,0
train_000216,đúng sản_phẩm lắp tháo dễ_dàng giao nhanh,0
train_000217,Đã bỏ thích theo dõi fanpage của tiki gỡ app tiki vì lúc nào phải thấy bản mặt lờ của chi pu,1
train_000218,Chất_lượng sản_phẩm tuyệt_vời . Đồng_hồ cứ bị đẹp quá . Rồi lại phải mua thêm 2 cái nữa . ,0
train_000219,Chất_lượng sản_phẩm tuyệt_vời . Mỗi_tội đơn_vị vận_chuyển chậm quá . 5 ngày mới nhận đc ~ . ~,0
